CNT: Country code 3-character,WEALTH: Wealth - mean (country),WEALTH: Wealth - median (country),WEALTH: Wealth Inequality (country),"ESCS: Index of economic, social and cultural status (country)",ST57Q01: Out-of-School Study Time - Homework - mean (country),ST69Q01: Min in <class period> - <test lang> - mean (country),ST69Q02: Min in <class period> - <Maths> - mean (country),ST69Q03: Min in <class period> - <Science> - mean (country),IC05Q01: Internet at School - mean (country),IC06Q01: Internet out-of-school - Weekday - mean (country),IC07Q01: Internet out-of-school - Weekend - mean (country),ATSCHL: Attitude towards School: Learning Outcomes - mean (country),ICTRES: ICT resources - mean (country),INSTMOT: Instrumental Motivation for Mathematics - mean (country),INTMAT: Mathematics Interest - mean (country),LMINS: Learning time (minutes per week) - <test language> - mean (country),MMINS: Learning time (minutes per week) - <Mathematics> - mean (country),SMINS: Learning time (minutes per week) - <Science> - mean (country),MATWKETH: Mathematics Work Ethic - mean (country),PERSEV: Perseverance - mean (country),PARED: Highest parental education in years - mean (country),OUTHOURS: Out-of-School Study Time - mean (country),OPENPS: Openness for Problem Solving - mean (country),TCHBEHSO: Teacher Behaviour: Student Orientation - mean (country),TCHBEHTD: Teacher Behaviour: Teacher-directed Instruction - mean (country),TEACHSUP: Teacher Support - mean (country),Math (country),Math.ChangeRel (country),Math.Quantity (country),Math.SpaceShape (country),Math.UncData (country),Mean.Employ (country),Math.Formulate (country),Math.Interpret (country),Reading (country),Science (country),WEALTH: Wealth - mean (country) - scaled,WEALTH: Wealth - median (country) - scaled,WEALTH: Wealth Inequality (country) - scaled,"ESCS: Index of economic, social and cultural status (country) - scaled",ST57Q01: Out-of-School Study Time - Homework - mean (country) - scaled,ST69Q01: Min in <class period> - <test lang> - mean (country) - scaled,ST69Q02: Min in <class period> - <Maths> - mean (country) - scaled,ST69Q03: Min in <class period> - <Science> - mean (country) - scaled,IC05Q01: Internet at School - mean (country) - scaled,IC06Q01: Internet out-of-school - Weekday - mean (country) - scaled,IC07Q01: Internet out-of-school - Weekend - mean (country) - scaled,ATSCHL: Attitude towards School: Learning Outcomes - mean (country) - scaled,ICTRES: ICT resources - mean (country) - scaled,INSTMOT: Instrumental Motivation for Mathematics - mean (country) - scaled,INTMAT: Mathematics Interest - mean (country) - scaled,LMINS: Learning time (minutes per week) - <test language> - mean (country) - scaled,MMINS: Learning time (minutes per week) - <Mathematics> - mean (country) - scaled,SMINS: Learning time (minutes per week) - <Science> - mean (country) - scaled,MATWKETH: Mathematics Work Ethic - mean (country) - scaled,PERSEV: Perseverance - mean (country) - scaled,PARED: Highest parental education in years - mean (country) - scaled,OUTHOURS: Out-of-School Study Time - mean (country) - scaled,OPENPS: Openness for Problem Solving - mean (country) - scaled,TCHBEHSO: Teacher Behaviour: Student Orientation - mean (country) - scaled,TCHBEHTD: Teacher Behaviour: Teacher-directed Instruction - mean (country) - scaled,TEACHSUP: Teacher Support - mean (country) - scaled,Math (country) - scaled,Math.ChangeRel (country) - scaled,Math.Quantity (country) - scaled,Math.SpaceShape (country) - scaled,Math.UncData (country) - scaled,Mean.Employ (country) - scaled,Math.Formulate (country) - scaled,Math.Interpret (country) - scaled,Reading (country) - scaled,Science (country) - scaled
Albania,-1.2073777173913,-1.17,-0.0591178085216933,,5.02642559109875,44.8494740660138,44.9290134692392,44.8614259597806,99,99,99,0.527448789571695,-1.43050924868691,0.536287222012816,0.941315295001879,175.873076923077,171.165197393637,149.358542319749,0.566419916540212,0.640325755836204,12.1205987771453,16.9452420701169,0.506480695718654,0.959634138187221,1.01665733333333,0.6180014803849,394.33,387.84,386.19,417.58,386.07,397.05,397.89,378.83,393.96,397.37,-0.131323771442474,-0.0974025974025973,0.0440022367822318,,-0.303353858854104,-0.402418910759664,-0.401514948785507,-0.377595200323131,0.5,0.5,0.5,0.5,-0.193576626146161,0.483360763093562,0.5,-0.234149625191884,-0.348661168895626,-0.29713715155619,0.319301250980304,0.400385316693864,-0.0445987382435817,0.145608669851419,0.416639288163131,0.426076396001138,0.5,0.5,-0.392754926813313,-0.359957750582751,-0.395964635854342,-0.326332333190456,-0.442092011902037,-0.381060327574235,-0.384640918498848,-0.450187746565902,-0.447098792062123,-0.382807593836047
Argentina,-0.848239508700102,-0.945,-0.055739763495805,-0.626648908747208,3.68157739846969,104.716837704295,104.803761242845,91.3799743260591,97.0125253893026,97.0128639133379,97.0125253893026,0.0568114011720831,-0.655050713426165,0.135560585885486,0.161268240912709,266.146698299723,278.499786598378,222.214188883868,0.0223123243243243,0.0572762387079113,12.7636459989401,9.80405976881872,-0.123328344733242,0.373059096910483,0.23258731284476,0.328910505836576,388.43,378.89,391.41,385.04,388.86,387.13,382.98,389.6,395.98,405.63,-0.020772779048127,-0.0243506493506493,0.105542406403304,-0.037611626032204,-0.426101836981114,0.5,0.5,0.5,0.479523008037072,0.479340115554554,0.478999493702229,0.0104341679222271,0.049623348581375,0.125105579919028,-0.108679623906347,0.126539160272837,0.08491239387975,0.0408231692429207,-0.0820495519257634,-0.0242073471233034,0.042532959770853,-0.231238243464136,-0.0500278724174663,0.0705227429586808,-0.0853487983704611,0.22818962767615,-0.416877913157249,-0.392555361305361,-0.37311799719888,-0.442563223317617,-0.429320210574502,-0.421578237961034,-0.442867184754169,-0.398997100622653,-0.436205780845556,-0.34290613980001
Australia,0.496489032620922,0.43,-0.0468090646002932,0.189072289156627,5.71856153674336,56.5693827708703,56.6152903153906,56.4158439116126,7.59774877425592,8.66763345072854,9.02796768178993,0.0589504716981132,0.451907778951074,0.231212538388224,0.0954678238780694,233.019440215482,235.801301775148,227.791550474066,-0.0549686685732444,0.0658643940197222,13.1221291347682,9.51445337970006,-0.0933234083191851,0.0290155039589129,0.0240537054860443,0.293194221508828,504.15,509,499.81,496.52,507.75,500.46,497.83,514.15,511.8,521.49,0.393165563201236,0.422077922077922,0.268239090625262,0.273656172420469,-0.240180715310805,-0.225757260656927,-0.225558411777837,-0.159615446156817,-0.441719282183112,-0.439168820453785,-0.450682952703906,0.012659269173766,0.396788625806742,0.210619755108475,-0.160024440713958,-0.00582099435448663,-0.08756634132652,0.0666952464411786,-0.139054432931928,-0.0179532166695515,0.0911067554044836,-0.246521045276378,-0.0277952311239997,-0.138019979918734,-0.241029915231963,0.194608307621737,0.0562597105241639,0.0813301282051281,0.101321778711485,-0.0443634804972138,0.114923323414969,0.0413143814075072,0.00564298824540166,0.192998716669043,0.188362812769629,0.216776967296266
Austria,0.273149439864722,0.09,-0.0454185760977851,0.108332978949607,4.60131578947368,49.8457990115321,49.8457990115321,49.8457990115321,5.53627760252366,7.00462670872766,7.38170347003155,0.285049663569369,0.104007189680694,-0.398787684413085,-0.324346572709801,143.464957264957,155.840096286107,199.740585774059,0.116697300771208,-0.0258530089628681,13.8344849924422,8.13651208360549,0.0555035485933504,-0.257120398329586,-0.0962107795957652,-0.434918138041734,505.54,506.4,510.25,500.96,498.55,509.68,499.45,508.64,489.61,505.78,0.324416504976198,0.311688311688312,0.293570576039076,0.242847181062506,-0.342154794838887,-0.327106121935722,-0.327484479661702,-0.28356256129074,-0.462958662242693,-0.456458792364792,-0.468078084073507,0.247851886099002,0.287679742905865,-0.352609201670839,-0.487610408362986,-0.363636458005557,-0.410566270841935,-0.0634266243515774,-0.0124282369116611,-0.0847443472798216,0.187629644184606,-0.319236304774638,0.0824805015812511,-0.311461838446903,-0.33081356973952,-0.489980659059936,0.0619429225611253,0.0718604312354311,0.147015056022409,-0.0285040720102872,0.0728084229800869,0.0789731650533023,0.0119693833717343,0.166809258995199,0.0687014667817084,0.140886913675668
Belgium,0.120191697048101,0.08,-0.0436745233839941,0.175148597242035,5.54079382579934,51.6709367493995,52.101996007984,51.9011063445473,11.6936140514133,13.2896359195068,13.8044666744213,-0.110607846748941,0.315670236554078,-0.368295350957156,-0.256364795918367,217.177139313766,216.420304777595,190.75567516967,0.0877125091709464,-0.314315366212735,14.4817320703654,8.17810963394646,-0.273633112582781,-0.271829165902841,-0.115357686676428,-0.178373328448434,514.75,513.3,518.81,508.81,507.86,515.62,512.32,512.95,509.11,505.46,0.277332597295085,0.308441558441559,0.325343183867642,0.268343086356597,-0.25640606120058,-0.29959465810471,-0.293513642283027,-0.244788181737001,-0.399519497637357,-0.391114720106827,-0.400212422596931,-0.163718471529141,0.354061690243708,-0.325348631689157,-0.434563451627521,-0.0691190008381924,-0.165855064287383,-0.105105525211212,-0.0338083270762813,-0.29481055448457,0.275330414863489,-0.317041162879908,-0.161398612957714,-0.320377587795939,-0.345107725566563,-0.248770983378243,0.0995993131081856,0.0969915501165499,0.184480042016807,-0.000464352050292771,0.11542687113756,0.103234897684107,0.0622290779864884,0.187295023527734,0.173856773080242,0.139341094633109
Brazil,-1.14973982020095,-1.25,-0.0618761663319264,-1.2449548836473,3.42969432314411,53.7849121535954,54.1272910557185,52.4037243595803,97,97,97,0.229044050295612,-1.31586154841492,0.403797621936423,0.487780912461712,206.735748096316,209.51277258567,156.6907644026,0.307315394119101,0.147677873897854,10.0836121289363,9.44056183624529,0.205238619652406,0.449625829714005,0.329047010713994,0.466642482869811,388.51,367.78,389.33,378.01,399.64,384.81,373.27,397.87,406.53,401.62,-0.113581502366906,-0.123376623376623,-0.00624866461678286,-0.273548536917748,-0.449091895182543,-0.267729360124438,-0.263019421778959,-0.235306046694527,0.47939395869239,0.479206371839234,0.478867145084785,0.189593797516986,-0.157620715493449,0.36491321889536,0.146101942253359,-0.110837640894415,-0.193757750314585,-0.263124686577105,0.128177639404149,0.0416256052608758,-0.320606626118105,-0.250420371591853,0.193429116101497,0.116933823611828,-0.0133366479712523,0.357688585631496,-0.416550821816993,-0.433020104895105,-0.382221638655462,-0.467673953421917,-0.379972533760586,-0.431054200874076,-0.480786503690397,-0.359689148723799,-0.379314063848145,-0.362277184677069
Bulgaria,-0.444635406698565,-0.52,-0.0517776920117534,-0.22982635539263,5.72768,42.0866459627329,42.1201743462018,42.7805564238825,97,97,97,-0.095346062052506,-0.306954764196343,-0.0352619187757504,0.206194095293774,139.505161290323,133.700064226076,256.673206818913,0.102581095564156,0.584907597965899,13.8262390670554,12.356346749226,0.377478151260504,0.670953654927493,0.543791701000589,0.214663167104112,438.74,434.47,442.6,442.08,431.57,439.03,436.7,440.99,436.13,446.47,0.103465836980233,0.113636363636364,0.177722187700098,0.113810309399232,-0.239348448193584,-0.444064778826329,-0.443806742109237,-0.416851823354959,0.47939395869239,0.479206371839234,0.478867145084785,-0.147842877052236,0.158793500441247,-0.0276121138414092,-0.0736234667104604,-0.379457846125349,-0.5,0.200670501673096,-0.0228407920292329,0.360028292834404,0.186512336689441,-0.0965516565824199,0.321052773420881,0.251092134547311,0.146981363342798,0.120771498395573,-0.211178346553275,-0.190122377622378,-0.149072128851541,-0.238819831404486,-0.233806363012131,-0.209594412449455,-0.233080798219237,-0.154736441846095,-0.219693701466782,-0.145620984493503
Canada,0.508481898100009,0.44,-0.0512992423899926,0.408898847631242,4.822419695535,68.3297942447097,68.3225097119402,68.4132713315619,97,97,97,0.0291704903928879,0.312381920476573,0.273869414347426,0.0589755752212389,301.557457397074,303.558579613993,294.928571428571,0.169839099829352,0.195640984305092,15.0106433753341,7.91873297979074,0.132614462457338,0.0976010856367402,0.24022146529563,0.270786749482402,518.07,525.06,515.43,510.14,516.46,516.55,515.96,521.15,523.12,525.44,0.396857242750445,0.425324675324675,0.18643843353242,0.357538912103652,-0.321974035721418,-0.0484850865149314,-0.0492865494794281,0.0667218986173601,0.47939395869239,0.479206371839234,0.478867145084785,-0.0183184255149826,0.353030405719028,0.248755595186651,-0.18849975905725,0.268023056636294,0.186136335268356,0.378128199264027,0.0267708186152026,0.0765536589072784,0.346996909234347,-0.330728713117483,0.139617076179898,-0.0964466902361128,-0.0796495089614498,0.173540256902218,0.113173603728842,0.139823717948718,0.16968662464986,0.00428632661808837,0.154795147631037,0.10703345178287,0.076443941109853,0.226270259993346,0.24940681622088,0.235858171102846
Chile,-0.263304309327037,-0.49,-0.0674998355808417,-0.208302779420461,3.79244391971665,61.6111531667928,61.6111531667928,61.6111531667928,8.33401400233372,7.70361726954493,7.3919194865811,0.305191366266133,-0.504248375664501,0.320601503759399,0.287091351470914,359.616924719701,381.258029978587,302.726241134752,0.179284084880637,0.287449013522501,13.4271567891973,8.22467060427079,0.224357028824834,0.310635581188997,0.324243946784922,0.392504987807581,422.63,411.05,421.44,418.72,430.28,416.23,419.74,432.65,441.4,444.93,0.159283715115318,0.123376623376623,-0.108698915225874,0.12202340490895,-0.415982745919665,-0.149759443607916,-0.15033730087394,-0.0616033923274325,-0.434133526331548,-0.449191517460032,-0.467970137275731,0.26880366273905,0.0969181078300534,0.290534732740899,-0.0104984139244423,0.5,0.5,0.414299767010213,0.0337377354309213,0.143410786029548,0.132437433107419,-0.314584096639699,0.207595209552479,0.0326846020752601,-0.0169223834615934,0.287982707862374,-0.277046365197481,-0.275422494172494,-0.241684173669468,-0.322260322903272,-0.239711604486153,-0.302720254870727,-0.299312687936892,-0.194377109178193,-0.191274805867127,-0.153060238635815
China-Shanghai,-0.776292069632495,-0.84,-0.0523562528417668,-0.377155022256629,13.8281101614435,40.9935483870968,41.1697947214076,40.9102333931777,1.9410855707939,2.81668920224068,4.36063357156654,-0.226697513013303,-0.574768724598413,0.0217694994179278,0.436743306169965,248.00611995104,269.699209245742,263.383090740167,0.324754553389584,0.252882896270396,12.7225556631171,20.3900523560209,0.0675072155949956,-0.196116030092593,0.545742476851852,0.355854787387909,612.68,623.95,590.9,648.92,591.87,612.76,624.42,578.74,569.59,580.12,0.00137429580125159,0.00974025974025983,0.167182147131583,0.0575917510222181,0.5,-0.460541734944184,-0.458116304497919,-0.452136383437881,-0.5,-0.5,-0.5,-0.284477118124568,0.0748014551675903,0.0233747668140296,0.106276715249567,0.0540583727245631,0.0493628314736906,0.231796085337448,0.14104130952261,0.118238790563066,0.0369652959805536,0.32739455185651,0.0913748121363893,-0.274483916694558,0.148437718350117,0.253523297161713,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
