CNT: Country code 3-character,STRATUM: Stratum ID 7-character (cnt + region ID + original stratum ID),WEALTH: Wealth - mean (region),WEALTH: Wealth - median (region),WEALTH: Wealth Inequality (region),"ESCS: Index of economic, social and cultural status (region)",ST57Q01: Out-of-School Study Time - Homework - mean (region),ST69Q01: Min in <class period> - <test lang> - mean (region),ST69Q02: Min in <class period> - <Maths> - mean (region),ST69Q03: Min in <class period> - <Science> - mean (region),IC05Q01: Internet at School - mean (region),IC06Q01: Internet out-of-school - Weekday - mean (region),IC07Q01: Internet out-of-school - Weekend - mean (region),ATSCHL: Attitude towards School: Learning Outcomes - mean (region),ICTRES: ICT resources - mean (region),INSTMOT: Instrumental Motivation for Mathematics - mean (region),INTMAT: Mathematics Interest - mean (region),LMINS: Learning time (minutes per week) - <test language> - mean (region),MMINS: Learning time (minutes per week) - <Mathematics> - mean (region),SMINS: Learning time (minutes per week) - <Science> - mean (region),MATWKETH: Mathematics Work Ethic - mean (region),PERSEV: Perseverance - mean (region),PARED: Highest parental education in years - mean (region),OUTHOURS: Out-of-School Study Time - mean (region),OPENPS: Openness for Problem Solving - mean (region),TCHBEHSO: Teacher Behaviour: Student Orientation - mean (region),TCHBEHTD: Teacher Behaviour: Teacher-directed Instruction - mean (region),TEACHSUP: Teacher Support - mean (region),Math (region),Math.ChangeRel (region),Math.Quantity (region),Math.SpaceShape (region),Math.UncData (region),Mean.Employ (region),Math.Formulate (region),Math.Interpret (region),Reading (region),Science (region),WEALTH: Wealth - mean (region) - scaled,WEALTH: Wealth - median (region) - scaled,WEALTH: Wealth Inequality (region) - scaled,"ESCS: Index of economic, social and cultural status (region) - scaled",ST57Q01: Out-of-School Study Time - Homework - mean (region) - scaled,ST69Q01: Min in <class period> - <test lang> - mean (region) - scaled,ST69Q02: Min in <class period> - <Maths> - mean (region) - scaled,ST69Q03: Min in <class period> - <Science> - mean (region) - scaled,IC05Q01: Internet at School - mean (region) - scaled,IC06Q01: Internet out-of-school - Weekday - mean (region) - scaled,IC07Q01: Internet out-of-school - Weekend - mean (region) - scaled,ATSCHL: Attitude towards School: Learning Outcomes - mean (region) - scaled,ICTRES: ICT resources - mean (region) - scaled,INSTMOT: Instrumental Motivation for Mathematics - mean (region) - scaled,INTMAT: Mathematics Interest - mean (region) - scaled,LMINS: Learning time (minutes per week) - <test language> - mean (region) - scaled,MMINS: Learning time (minutes per week) - <Mathematics> - mean (region) - scaled,SMINS: Learning time (minutes per week) - <Science> - mean (region) - scaled,MATWKETH: Mathematics Work Ethic - mean (region) - scaled,PERSEV: Perseverance - mean (region) - scaled,PARED: Highest parental education in years - mean (region) - scaled,OUTHOURS: Out-of-School Study Time - mean (region) - scaled,OPENPS: Openness for Problem Solving - mean (region) - scaled,TCHBEHSO: Teacher Behaviour: Student Orientation - mean (region) - scaled,TCHBEHTD: Teacher Behaviour: Teacher-directed Instruction - mean (region) - scaled,TEACHSUP: Teacher Support - mean (region) - scaled,Math (region) - scaled,Math.ChangeRel (region) - scaled,Math.Quantity (region) - scaled,Math.SpaceShape (region) - scaled,Math.UncData (region) - scaled,Mean.Employ (region) - scaled,Math.Formulate (region) - scaled,Math.Interpret (region) - scaled,Reading (region) - scaled,Science (region) - scaled
Albania,ALB0001,-1.2581045751634,-1.17,-0.0571621588500046,,5.06907894736842,44.7964824120603,44.8994974874372,44.9151670951157,99,99,99,0.522620320855615,-1.43505766062603,0.482015306122449,0.939160305343511,170.204851752022,165.683646112601,150.977715877437,0.531465217391304,0.588151413881748,12.2725880551302,17.018779342723,0.561461282051282,0.932190106951872,0.9492008,0.596069518716578,395.83,395.13,383.07,411.89,388.68,395.52,398.98,380.6,397.34,397.81,-0.0543491886340017,-0.00291262135922332,0.0885976307327837,,-0.237710721294917,-0.411462765720608,-0.410214228304733,-0.345663290924045,0.5,0.5,0.5,-0.0537514179225409,-0.0764125223911123,0.0978276973221231,0.257426268897914,-0.350746844484299,-0.35984509979148,-0.293313579040713,0.225381698132935,0.0673759770968843,0.124808575803982,-0.0709551426204285,0.278950824967472,0.159628854588156,0.226931418110125,0.108036265460793,-0.189073832395541,-0.0627959376938903,-0.204247829148087,-0.199373098364338,-0.188252462604889,-0.202647929982407,-0.190724141403968,-0.217093810444874,-0.124584094849806,-0.206959799630632
Albania,ALB0002,-1.22460317460317,-1.17,-0.0509232218970903,,3.76666666666667,44.5,44.8780487804878,44.3589743589744,99,99,99,0.661714285714286,-1.34693548387097,0.550526315789474,0.837105263157895,156.052631578947,163.292682926829,150,0.462394736842105,0.6581,12.2424242424242,12.953488372093,0.450434210526316,0.560622857142857,0.652457142857143,0.327142857142857,424.91,413.91,418.07,460.68,399.43,426.85,425,405.86,431.58,414.6,-0.0481871701710844,-0.00291262135922332,0.133499948905771,,-0.305101421110166,-0.415056117307759,-0.41047418552993,-0.354320831002244,0.5,0.5,0.5,-0.0116017316017316,-0.0547726972670862,0.122695577419047,0.228998680545375,-0.372645831212461,-0.364272809394761,-0.2953096166873,0.212798720549826,0.0854743977851948,0.122414622414622,-0.1734414696111,0.243270305789863,0.0347576706837421,0.0963408071297804,0.0107887939598649,-0.126858646584369,-0.0321327107076381,-0.122107486505515,-0.0997427048661453,-0.16374042320321,-0.132875308999399,-0.138312015308692,-0.156020309477756,-0.0443554055953888,-0.164482505629064
Albania,ALB0003,-1.19316901408451,-1.17,-0.0608948421480589,,4.71559633027523,44.9407407407407,44.9703703703704,44.8407407407407,99,99,99,0.557818181818182,-1.45607058823529,0.521220472440945,0.928976377952756,185.609375,173.18992248062,136.639215686275,0.451739607843137,0.520714682539683,12.4762979683973,14.8251748251748,0.428738492063492,0.923979347826087,0.969023826714801,0.518494623655914,382.03,374.31,367.64,401.86,382.74,382.33,387.99,366.61,377.56,380.5,-0.0424053857010848,-0.00291262135922332,0.0617330968621641,,-0.256000967241923,-0.409714362195685,-0.409355252608319,-0.346821790674231,0.5,0.5,0.5,-0.0430853994490358,-0.0815725864697857,0.112058247709962,0.254589520321102,-0.326910058027079,-0.345944587998852,-0.322586077153526,0.210857612738311,0.0499274709668252,0.14097602923788,-0.126256096844332,0.23629800175579,0.156869496185827,0.235655113150789,0.0799841476363528,-0.218598232814874,-0.0967899944486171,-0.240459985918799,-0.219854607829123,-0.201796789492886,-0.232022359307841,-0.212861315338906,-0.250918762088975,-0.170931158910914,-0.250752650087282
Albania,ALB0004,-1.73333333333333,-2.05,-0.108467741935484,,7.66666666666667,45,45,45,99,99,99,0.065,-2.02666666666667,0.256666666666667,0.703333333333333,135,225,90,0.591066666666667,0.677333333333333,6.8,39.6666666666667,0.681433333333333,1.17715,0.445,0.12,398.48,389.16,399.82,420.29,428.14,390.13,384.9,382.34,410.25,365.87,-0.141759515754154,-0.17378640776699,-0.280654316055794,,-0.10330377748087,-0.408996143020953,-0.408996143020953,-0.344342805728425,0.5,0.5,0.5,-0.192424242424242,-0.221691678035471,0.016031457955233,0.191736304549675,-0.405222437137331,-0.25,-0.417801499614585,0.236239646335835,0.090450809421546,-0.30952380952381,0.5,0.317505972083856,0.241951588547462,0.00504330376003381,-0.0641168289290682,-0.183404291735307,-0.0725435130457499,-0.164937808026285,-0.182220089440689,-0.0982761765778913,-0.214651582299624,-0.219085507100413,-0.212886847195358,-0.0943343174469282,-0.287765324967744
Albania,ALB0005,-1.08568990042674,-1.17,-0.0576759729791862,,5.1984962406015,44.7582292849035,44.9007981755986,44.8447488584475,99,99,99,0.543291428571429,-1.22967695620962,0.507931428571429,0.929954545454546,170.287589498807,171.247924080664,150.95,0.548665327210103,0.686554764638347,12.401055408971,16.882722513089,0.49390447761194,0.940168977272727,1.05901927437642,0.65156462585034,401.23,394.49,394.59,424.62,395.52,406.05,404.87,384.51,400.65,403.52,-0.022636412713028,-0.00291262135922332,0.0848996537081065,,-0.231014284161759,-0.411926391654528,-0.410198464031106,-0.346759401438577,0.5,0.5,0.5,-0.0474874458874459,-0.0259779701469733,0.107234638319938,0.254861990377311,-0.350618817023123,-0.349540881332103,-0.293370161874285,0.228515143775068,0.0928367524744098,0.135004397537379,-0.0743851467288486,0.257240247328451,0.162310283007096,0.275260207354782,0.12810403716424,-0.177520806144498,-0.0638409038957646,-0.177211922084018,-0.173378121745523,-0.172655964976286,-0.179197381021313,-0.178859905327828,-0.207640232108317,-0.116828342471531,-0.192513977787335
Albania,ALB0006,-0.876548223350254,-0.91,-0.0636929609936244,,4.9875,44.9568965517241,44.4655172413793,44.4347826086957,99,99,99,0.503385826771654,-1.11548717948718,0.619391304347826,0.874869565217391,174.626168224299,168.853211009174,153.679245283019,0.54337027027027,0.780113636363636,12.8691588785047,15.4206349206349,0.492600909090909,1.01251984126984,1.0166811023622,0.527007874015748,412.73,414.26,401.85,442.79,392.14,416.88,414.69,400.01,406.23,409.43,0.0158316767984574,0.0475728155339805,0.0415947265536255,,-0.241931859589457,-0.409518554597402,-0.415474046568918,-0.353140821056818,0.5,0.5,0.5,-0.0595800524934383,0.00206317556931479,0.147691943501933,0.23951798474022,-0.34390534897594,-0.353975535168196,-0.287798321979495,0.227550511963541,0.117044072644476,0.17215546654799,-0.11124449779912,0.25682132245747,0.186624961032327,0.256628072790014,0.0830626526343457,-0.152917139128388,-0.031561244815988,-0.160173668153016,-0.136274529823773,-0.180363006202116,-0.15507872525221,-0.15907946419579,-0.170164410058027,-0.103753690425981,-0.177562172692084
Albania,ALB0007,-1.25986259541985,-1.39,-0.0606131924778267,,4.8955223880597,45.0148514851485,45.0567901234568,44.8957816377171,99,99,99,0.520261780104712,-1.53505376344086,0.573523316062176,0.969663212435233,189.771653543307,176.541884816754,152.741333333333,0.643996875,0.613615159574468,12.0087591240876,17.361797752809,0.508444736842105,0.999142670157068,1.00154412532637,0.554435695538058,377.04,366.26,371.62,398.37,363.8,381.08,378.22,358.75,371.07,384.46,-0.0546725468547706,-0.0456310679611651,0.0637601606394596,,-0.246691055834637,-0.408816143784711,-0.408307849645167,-0.345965039514878,0.5,0.5,0.5,-0.0544661272409964,-0.100968182018219,0.131042945939084,0.265922900399786,-0.320469394903974,-0.339737250339345,-0.289713098658444,0.245882255155578,0.0739644388145794,0.103869771752983,-0.0623076196770843,0.261913017592347,0.182129346321928,0.249966609159965,0.0929809191097288,-0.229274084850559,-0.109933709956569,-0.231119455526872,-0.226981274631925,-0.244983582634075,-0.234806137674543,-0.232541041393897,-0.269922630560928,-0.186138057078588,-0.240734181698586
Albania,ALB0008,-1.5925,-1.6,-0.0427613289343886,,4.46153846153846,45.8695652173913,45.9090909090909,45.9090909090909,99,99,99,0.464347826086957,-2.24916666666667,0.577272727272727,0.9,203.25,183.157894736842,159.21052631579,0.47822380952381,0.98597,11.7027027027027,13.0434782608696,0.389576190476191,1.13742727272727,0.774331818181818,0.645217391304348,388.29,393.92,364.43,421.61,381.76,390.18,382.69,392.21,391.3,389.55,-0.115855595748357,-0.0864077669902913,0.192241993819993,,-0.26914667987181,-0.398457057304768,-0.397978007954032,-0.330192151703736,0.5,0.5,0.5,-0.0714097496706193,-0.276330150068213,0.132403893746906,0.246518105849582,-0.299613152804642,-0.327485380116959,-0.276506038167761,0.215682396255157,0.170307123082098,0.0795795795795796,-0.171172816952868,0.223712501358161,0.228602123585178,0.149975275569382,0.12580879240491,-0.205205280160887,-0.064771576919309,-0.247993428772589,-0.17952461660983,-0.204031375410434,-0.214540231164956,-0.223537113505892,-0.189023210831722,-0.138736585594451,-0.227856907936347
Albania,ALB0009,-1.35819805194805,-1.39,-0.0547645764659624,,4.81850533807829,44.72,44.9392405063291,44.8894472361809,99,99,99,0.50612188365651,-1.60639344262295,0.539908256880734,0.931914893617021,174.01329787234,172.153225806452,146.677419354839,0.528486196319018,0.655463888888889,11.6863905325444,16.200488997555,0.526536760124611,0.955235714285714,1.03423961748634,0.71291553133515,396.44,389.45,383.69,428.59,388.59,397.31,404.71,380.53,403.91,401.72,-0.0727596980948188,-0.0456310679611651,0.105853295899255,,-0.250676147938619,-0.412389728621564,-0.409732544959603,-0.34606363903193,0.5,0.5,0.5,-0.0587509443465122,-0.118486793549974,0.118841472551991,0.255408048361287,-0.344853697683032,-0.347864396654719,-0.302092769344026,0.224838992260989,0.0847923332787106,0.0782849629003476,-0.0915843109860081,0.267727210246685,0.167373703664743,0.264355204146572,0.150289343737328,-0.187768768319035,-0.0720700127355257,-0.202792771649847,-0.165271283004227,-0.188457679678949,-0.19866155936129,-0.179182193574378,-0.217263056092843,-0.109189746473593,-0.197067827054924
Albania,ALB0010,-0.985238095238095,-1.06,-0.0600267209158805,,4.6,44.7916666666667,44.6,44,99,99,99,0.401923076923077,-1.26585365853659,0.830714285714286,0.960357142857143,192.083333333333,169.4,119.375,0.813714814814815,0.391407407407407,12.7209302325581,18.3928571428571,0.532126923076923,1.15137407407407,0.720492592592593,0.624074074074074,384.76,355.93,395.58,410.7,400.71,387.28,387.29,398.51,390.68,398.41,-0.00415999477661683,0.0184466019417475,0.0679810612308042,,-0.261982266488522,-0.411521132307122,-0.413844122450398,-0.359908525155582,0.5,0.5,0.5,-0.0903263403263403,-0.0348617442518217,0.224397199896293,0.2633306804616,-0.316892327530625,-0.352962962962963,-0.357831515264768,0.276800775124757,0.0164706479876341,0.160391288298265,-0.0363145258103241,0.269523708287085,0.233289171748734,0.126281770434002,0.118163086591459,-0.21275753621018,-0.126800117558698,-0.174888523820699,-0.201803107961855,-0.160821780372127,-0.220998596975703,-0.214271326417565,-0.173791102514507,-0.140189324710624,-0.205441849874769
